"JPN_IOT2011_item","JPN_IOT2011_code","FABIO_item","FABIO_item_code","FABIO_comm_code","ISIC","comments"
"Non-residential construction (wooden)","411201",,,,,
"Non-residential construction (non-wooden)","411202",,,,,
"Repair of construction","412101",,,,,
"Public construction of roads","413101",,,,,
"Public construction of rivers, drainages and miscellaneous public construction","413102",,,,,
"Agricultural public construction","413103",,,,,
"Railway construction","419101",,,,,
"Electric power facilities construction","419102",,,,,
"Telecommunication facilities construction","419103",,,,,
"Miscellaneous civil engineering and construction","419109",,,,,
"Electricity (nuclear power)","461101",,,,,
"Electricity (thermal power)","461102",,,,,
"Electricity (water power, etc.)","461103",,,,,
"Private power generation","461104",,,,,
"Gas supply","462101",,,,,
"Steam and hot water supply","462201",,,,,
"Water supply","471101",,,,,
"Industrial water supply","471102",,,,,
"Sewage disposal **","471103",,,,,
"Waste management services (public) **","481101",,,,,
"Waste management services (industry)","481102",,,,,
"Wholesale trade","511101",,,,,
"Retail trade","511201",,,,,
"Financial service","531101",,,,,
"Life insurance","531201",,,,,
"Non-life insurance","531202",,,,,
"Real estate agencies and managers","551101",,,,,
"Real estate rental service","551102",,,,,
"House rent","552101",,,,,
"House rent (imputed house rent)","553101",,,,,
"Railway transport (passengers)","571101",,,,,
"Railway transport (freight)","571201",,,,,
"Bus transport service","572101",,,,,
"Hired car and taxi transport","572102",,,,,
"Road freight transport (except self-transport)","572201",,,,,
"Self-transport (passengers)","573101P",,,,,
"Self-transport (freight)","573201P",,,,,
"International shipping","574101",,,,,
"Coastal and inland water transport","574201",,,,,
"Harbor transport service","574301",,,,,
"Air transport","575101",,,,,
"Consigned freight forwarding","576101",,,,,
"Storage facility service","577101",,,,,
"Packing service","578101",,,,,
"Facility service for road transport","578901",,,,,
"Port and water traffic control **","578902",,,,,
"Services relating to water transport","578903",,,,,
"Airport and air traffic control (public) **","578904",,,,,
"Airport and air traffic control (industrial)","578905",,,,,
"Services relating to air transport","578906",,,,,
"Travel agency and miscellaneous services relating to transport","578909",,,,,
"Postal services and mail delivery","579101",,,,,
"Fixed telecommunications","591101",,,,,
"Mobile telecommunications","591102",,,,,
"Miscellaneous telecommunications","591109",,,,,
"Miscellaneous services relating to communication","591909",,,,,
"Public broadcasting","592101",,,,,
"Private broadcasting","592102",,,,,
"Cable broadcasting","592103",,,,,
"Information services","593101",,,,,
"Internet based services","594101",,,,,
"Video picture, sound information, character information production","595101",,,,,
"Newspaper","595102",,,,,
"Publication","595103",,,,,
"Public administration (central) **","611101",,,,,
"Public administration (local) **","611201",,,,,
"School education (public) **","631101",,,,,
"School education (private) *","631102",,,,,
"Social education (public) **","631201",,,,,
"Social education (private, non-profit) *","631202",,,,,
"Miscellaneous educational and training institutions (public) **","631203",,,,,
"Miscellaneous educational and training institutions (profit-making)","631204",,,,,
"Research institutes for natural science (pubic) **","632101",,,,,
"Research institutes for cultural and social science (public) **","632102",,,,,
"Research institutes for natural sciences (private, non-profit) *","632103",,,,,
"Research institutes for cultural and social science (private,non-profit) *","632104",,,,,
"Research institutes for natural sciences (profit-making)","632105",,,,,
"Research institutes for cultural and social science (profit-making)","632106",,,,,
"Research and development (intra-enterprise)","632201",,,,,
"Medical service (hospitalization)","641101",,,,,
"Medical service (except hospitalization)","641102",,,,,
"Medical service (dentistry)","641103",,,,,
"Medical service (pharmacy dispensing)","641104",,,,,
"Medical service (miscellaneous medical service)","641105",,,,,
"Health and hygiene (public) **","642101",,,,,
"Health and hygiene (profit-making)","642102",,,,,
"Social insurance **","643101",,,,,
"Social welfare (public) **","643102",,,,,
"Social welfare (private, non-profit) *","643103",,,,,
"Social welfare (profit-making)","643104",,,,,
"Nursing care (facility services)","644101",,,,,
"Nursing care (except facility services)","644102",,,,,
"Private non-profit institutions serving enterprises","659901",,,,,
"Private non-profit institutions serving households, n.e.c. *","659902",,,,,
"Goods rental and leasing (except car rental)","661101",,,,,
"Car rental and leasing","661201",,,,,
"Advertising services","662101",,,,,
"Motor vehicle maintenance services","663110",,,,,
"Repair of machine","663210",,,,,
"Judicial, financial and accounting services","669901",,,,,
"Civil engineering and construction services","669902",,,,,
"Worker dispatching services","669903",,,,,
"Building maintenance services","669904",,,,,
"Guard services","669905",,,,,
"Miscellaneous business services","669909",,,,,
"Hotels","671101",,,,,
"Eating and drinking services","672101",,,,,
"Cleaning","673101",,,,,
