area,area_code,proc_code,proc,comm_code,source_code,source,item_code,item,tcf
Myanmar,MMR,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Myanmar,MMR,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.1
Myanmar,MMR,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.09
Myanmar,MMR,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.126
Myanmar,MMR,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Burundi,BDI,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Burundi,BDI,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Burundi,BDI,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Burundi,BDI,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Burundi,BDI,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Burundi,BDI,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Antarctica,ATA,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Antarctica,ATA,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Antarctica,ATA,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Antarctica,ATA,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Antarctica,ATA,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Antarctica,ATA,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Bouvet Island,BVT,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Bouvet Island,BVT,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Bouvet Island,BVT,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Bouvet Island,BVT,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.10285
Bouvet Island,BVT,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1309
Bouvet Island,BVT,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Cameroon,CMR,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Cameroon,CMR,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Cameroon,CMR,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Cameroon,CMR,p065,Sugar production,c015,2536,Sugar cane,2818,"Sugar, Refined Equiv",0.07636
Cameroon,CMR,p065,Sugar production,c016,2537,Sugar beet,2818,"Sugar, Refined Equiv",0.1288
Cameroon,CMR,p077,Ricebran Oil extraction,c001,2805,Rice (Milled Equivalent),2581,Ricebran Oil,0.14
Canada,CAN,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Canada,CAN,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Canada,CAN,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
