area_code,inp_code,inp,out_code,out,value
6,2511,Wheat and products,2657,"Beverages, Fermented",4.455
6,2511,Wheat and products,2658,"Beverages, Alcoholic",0.68
6,2511,Wheat and products,2659,"Alcohol, Non-Food",0.28
6,2513,Barley and products,2543,"Sweeteners, Other",0.803
6,2513,Barley and products,2656,Beer,4.7815
6,2513,Barley and products,2658,"Beverages, Alcoholic",0.5037
6,2513,Barley and products,2659,"Alcohol, Non-Food",0.2044
6,2514,Maize and products,2543,"Sweeteners, Other",0.8415
6,2514,Maize and products,2656,Beer,5.5
6,2514,Maize and products,2657,"Beverages, Fermented",5.5
6,2514,Maize and products,2658,"Beverages, Alcoholic",0.65
6,2514,Maize and products,2659,"Alcohol, Non-Food",0.35
6,2515,Rye and products,2656,Beer,4.8173
6,2515,Rye and products,2657,"Beverages, Fermented",4.8173
6,2515,Rye and products,2658,"Beverages, Alcoholic",0.645
6,2515,Rye and products,2659,"Alcohol, Non-Food",0.27
6,2516,Oats,2658,"Beverages, Alcoholic",0.468188889
6,2517,Millet and products,2656,Beer,4.5
6,2517,Millet and products,2657,"Beverages, Fermented",4.5
6,2518,Sorghum and products,2656,Beer,4.85
6,2518,Sorghum and products,2657,"Beverages, Fermented",4.85
6,2518,Sorghum and products,2658,"Beverages, Alcoholic",0.468188889
6,2518,Sorghum and products,2659,"Alcohol, Non-Food",0.294
6,2520,"Cereals, Other",2656,Beer,4.8173
6,2520,"Cereals, Other",2657,"Beverages, Fermented",4.8173
6,2520,"Cereals, Other",2658,"Beverages, Alcoholic",0.65
6,2520,"Cereals, Other",2659,"Alcohol, Non-Food",0.275
6,2531,Potatoes and products,2543,"Sweeteners, Other",0.19
6,2531,Potatoes and products,2658,"Beverages, Alcoholic",0.215
6,2531,Potatoes and products,2659,"Alcohol, Non-Food",0.09
6,2532,Cassava and products,2543,"Sweeteners, Other",0.25
6,2532,Cassava and products,2659,"Alcohol, Non-Food",0.09
6,2533,Sweet potatoes,2543,"Sweeteners, Other",0.2
6,2533,Sweet potatoes,2658,"Beverages, Alcoholic",0.468188889
6,2536,Sugar cane,2658,"Beverages, Alcoholic",0.19
6,2536,Sugar cane,2659,"Alcohol, Non-Food",0.075
6,2537,Sugar beet,2658,"Beverages, Alcoholic",0.155
6,2537,Sugar beet,2659,"Alcohol, Non-Food",0.065
