Stressor,Compartment,Subcompartment_1,Subcompartment_2,Unit,Description,Sources,GWP
luc_forest_to_agric,luc,luc,"",ha,"Land use change from forest to agricultural usage, (deforestation risk, amortized)","DEDUCE v.2.01. 
https://doi.org/10.5281/zenodo.18953516",
n_atmospheric_deposition,nutrient_pollution,nitrogen,"",kg N,Atmospheric deposition of nitrogen,"own estimations based on:
https://www.fao.org/faostat/en/#data/QCL;
https://www.fao.org/faostat/en/#data/ESB",
n_biological_fixation,nutrient_pollution,nitrogen,"",kg N,Biological fixation of nitrogen,"own estimations based on:
https://www.fao.org/faostat/en/#data/QCL;
10.1038/srep19355;
10.1007/s11104-021-05166-7;
10.1007/s11104-008-9668-3;
10.1038/srep19355;
10.1088/1748-9326/9/10/105011;
10.1038/s41586-025-09201-w;
10.1007/s11104-021-05167-6
",
n_fertilizer,nutrient_pollution,nitrogen,"",kg N,Inorganic nitrogen fertilizer application,"own estimations based on:
10.1038/s41597-024-04030-4;
10.5061/DRYAD.2RBNZS7QH",
n_leaching_runoff,nutrient_pollution,nitrogen,"",kg N,Leaching and runoff of nitrogen,own estimations (IPCC Tier 1),
n_manure,nutrient_pollution,nitrogen,"",kg N,Nitrogen content of deposited or applied livestock manure. Storage losses are disregarded,"own estimations based on:
https://www.fao.org/faostat/en/#data/EMN",
n_nh3_n,nutrient_pollution,nitrogen,"",kg N,Volatilization of NH3 (IPCC Tier 1) from crops and pastures,own estimations (IPCC Tier 1),
n_removal,nutrient_pollution,nitrogen,"",kg N,Removal of nitrogen through harvest of crops or grazing,"own estimations based on:
https://www.fao.org/faostat/en/#data/QCL;
README from https://www.fao.org/faostat/en/#data/ESB",
p_atmospheric_deposition,nutrient_pollution,phosphorus,"",kg P,Atmospheric deposition of phosphorus,IMAGE-DPPS,
p_fertilizer,nutrient_pollution,phosphorus,"",kg P,Inorganic phosphorus fertilizer application,"own estimations based on:
10.1038/s41597-024-04030-4;
10.5061/DRYAD.2RBNZS7QH",
p_manure,nutrient_pollution,phosphorus,"",kg P,Phosphorus content of deposited or applied livestock manure. Storage losses are disregarded,"own estimations based on:
https://www.fao.org/faostat/en/#data/EMN",
p_removal,nutrient_pollution,phosphorus,"",kg P,Removal of phosphorus through harvest of crops or grazing,"own estimations based on:
https://www.fao.org/faostat/en/#data/QCL;
README from https://www.fao.org/faostat/en/#data/ESB",
p_runoff_erosion,nutrient_pollution,phosphorus,"",kg P,Runoff and erosion of phosphorus from croplands and pastures,IMAGE-DPPS,
p_weathering,nutrient_pollution,phosphorus,"",kg P,Phosphorus inputs to croplands and pastures through weathering of phosphate rock,IMAGE-DPPS,
